▶ 검색조건 [ 조회기간: 2019-01-01~2020-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
127,배심원들,2019-05-15,2308006090,0.001,2308006090,288779,288779,784,20273,한국,한국,반짝반짝영화사(주),CGV아트하우스,12세이상관람가,드라마,홍승완,"문소리,박형식,백수장,김미경,윤경호,서정연,조한철,조수향,권해효,김홍파,태인호,이해운,서진원,이영진,최영우,서현우,이용이,심달기,유순웅,김학선,고서희,정도원,염동헌,이서준,김선영,이규형,구윤회,한연희,임형택,김무령,이향란,우가은,유나,문창준,서영지,노지원,도준석,이한석,천찬양,이효순,이주윤,박건용,정다온,류덕환,민혜선,박재완,서영주,서정암,김나경,김동혁,김명진,신치영,양재훈,김상균,김상준,김상훈,이정훈,이주한,최영우,이지호,이승주,김지한,최현주,김지호,이현지,이현지,강진수"
128,기방도령,2019-07-10,2330230190,0.001,2330230190,287053,287053,625,16652,한국,한국,"주식회사 브레인샤워,(주)제이와이피픽쳐스",판씨네마(주),15세이상관람가,"코미디,사극",남대중,"이준호,정소민,최귀화,예지원,공명,장세아,조이현,김동영,이일화,이상희,나승용,남선중,고나희,김가빈,박정원,박정원,박정헌,설윤지,박지수,김문찬,신은수,신이지,김민지,유종연,오규택,오자훈,윤미영,김서경,오제근,옥영진,정재성,이정훈,정재훈,최민호,이주실,김인호,김장원,허성우,홍기호,최유리,백주희,김수한,조영지,이수연,이진,정기원,윤혜빈,김주현,정민규,조헌태,강승현,강영준,이승현,최지희,고재석,지대한,공현주,김연희,권다영,하민,김선도,이철민,이호연,김시혜,김아윤,한기업,임수지,임향주,이민영,이해인,한미령,이유나,김한,도연진,이유정,한지혜,왕수빈,한채리,우연화,남관규,남영진,남훈성,정우영,김우혁,유수아,유형준,이은정,민지율,왕나경,정연심,윤설아,윤욱,윤정혁,윤지욱,윤해주,이재왕,신우준,정태,김유진,이노아,심윤슬,심현,이하주,안성원,이화진,최지수,배정화,박채희,임조은,전노민,반필원,서은율,전지혜,임태풍,오성희,장대웅,하재숙,하지은,한희림,박태산,이솔,임향주"
129,신데렐라:마법 반지의 비밀,2019-02-20,2114475240,0.001,2114475240,284922,284922,575,9977,미국,미국,,예지림엔터테인먼트,전체관람가,"애니메이션,판타지",린 사우더랜드,"사문영,김혜성,남도형,시영준,김경희,민아,탁원정"
130,원스 어폰 어 타임... 인 할리우드,2019-09-25,2296161510,0.001,2296161510,281165,281165,678,15586,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,"드라마,코미디",쿠엔틴 타란티노,"레오나르도 디카프리오,브래드 피트,마고 로비,에밀 허쉬,마가렛 퀄리,티모시 올리펀트,줄리아 버터스,오스틴 버틀러,다코타 패닝,브루스 던,마이크 모,루크 페리,데미안 루이스,알 파치노,커트 러셀,조 벨"
131,런,2020-11-20,2560441600,0.001,2560441600,278819,278819,799,38957,미국,미국,,(주)올스타엔터테인먼트,15세이상관람가,"미스터리,스릴러",아니쉬 차간티,"사라 폴슨,팻 힐리,키에라 앨런"
132,기묘한 가족,2019-02-13,2121514275,0.001,2121514275,263598,263598,625,15314,한국,한국,"씨네주 유한회사,오스카10스튜디오",플러스엠 엔터테인먼트,12세이상관람가,"코미디,가족",이민재,"정재영,김남길,엄지원,이수경,정가람,박인환,장세아,김지안,장지건,오안진,이성우,전배수,오의식,황우상,정용구,강운,유독현,백송희,홍예서,장혜은,이라온,변주우,박솜이,신주현,김이라,안미라,고동형,강민구,박기루,이범직,한규칠,배주혜,유은조,나병기,정종한,임승하,안세일,심국보,성창호,손정수,지원석,곽한훈,김봉수,김기천,나애진,박경혜,노혜영,류경인,곽성은,김가빈,서문호,김다솜,박태진,박혜숙,송현욱,김만호,김미나,김민,김민상,안소영,안지원,김민희,유병선,유병선,김상현,오제근,김선화,오진호,지환,장민영,이상훈,최영민,이성훈,최유진,조민지,김혜지,김정원,조아라,이소연,이수경,김종기,이수아,윤정일,김승비,조은아,조은주,조은주,이순자,김시윤,최종률,이가경,김주형,한이원,이건수,이건창,이경민,김연정,김준석,강유나,강윤석,고경인,이규현,구본웅,김연희,차정민,이영석,이동희,이영아,김수란,이미지,김정중,한아름,김진문,이태건,김창조,한정화,이형직,김홍근,이유진,류철호,정우영,정우영,유순철,문지영,정민서,정민섭,유호연,신정근,윤지현,윤혜진,윤희철,최기범,정태인,이덕건,이창숙,최송이,최유라,김지안,장은총,장진경,장호정,서장현,오순태,오순태,장루이,임효성,채이설,김성준,강지혜,이승철,김시운,오진호"
133,악질경찰,2019-03-20,2256615278,0.001,2256615278,262233,262233,833,22785,한국,한국,"청년필름(주),다이스필름(주)",워너브러더스 코리아(주),청소년관람불가,"범죄,드라마",이정범,"이선균,전소니,박해준,송영창,박병은,김민재,남문철,정가람,이유영,권오상,오희준,윤지온,임철수,장영승,남태부,박소은,선욱현,송부건,송요셉,김문찬,안지현,양준석,염문경,염선식,유하나,오창경,윤선혜,이정철,임형국,이종혁,김인숙,이주한,허린,김정수,김정우,김호연,김효민,황보정일,최정운,김연주,권정민,권한솔,이도국,김곽경희,이창호,이화연,노희중,지화섭,김원식,문지홍,진우진,민대식,정영도,심영민,이한누리,이형구,이원,장태민,임종훈,양현진,박성희,송영섭,송용호,송재생,장율,한동원,황리한,한정훈,정재성"
134,라스트 크리스마스,2019-12-05,2064086430,0.001,2064086430,250383,250383,623,14611,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"코미디,멜로/로맨스",폴 페이그,"에밀리아 클라크,엠마 톰슨,헨리 골딩"
135,뮬란,2020-09-17,2079737620,0.001,2079737620,236247,236247,1420,38703,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"어드벤처,드라마,가족",니키 카로,"유역비,이연걸,공리,견자단,제이슨 스콧 리"
136,내가 죽던 날,2020-11-12,2135396020,0.001,2135396020,233112,233112,909,29390,한국,한국,"오스카10스튜디오,스토리퐁",워너브러더스 코리아(주),12세이상관람가,드라마,박지완,"김혜수,이정은,노정의,김선영,이상엽,문정희,김정영,임성재,강연정,강신철,박지훈,정영기,김정민,박미현,정지우,윤가현,심소영,이용이,전현숙,장문규,윤현길,정은경,이종윤,이윤재,장지용,하시연,김우진,유순웅,윤성원,김보라나,윤병희,오세영,이지훈,정하민,고청휘,정수지,장정인,현우석,최예은,차영남,송인서,박승배,류제승,김유진,홍성호,이가경,지운,김근배,김석환,정다희,김낙연,박동일,하동일,김근수,정수진,이태용,박미리,문강혁,신용진,정태웅,봉미영,임윤비,한진우,김아라,김상호,정지우,장문규,조한철,김태훈,김정호,오지영"
137,메리 포핀스 리턴즈,2019-02-14,1816281960,0.001,1816281960,224160,224160,573,11128,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"판타지,뮤지컬",롭 마샬,"에밀리 블런트,린-마누엘 미란다,벤 위쇼,에밀리 모티머,줄리 월터스,콜린 퍼스,메릴 스트립,딕 반 다이크,데이빗 워너,안젤라 랜스베리"
138,명탐정 코난: 감청의 권,2019-07-24,1740310530,0.001,1740310530,219078,219078,602,8790,일본,일본,,(주)씨제이이엔엠,12세이상관람가,애니메이션,나가오카 치카,"타카야마 미나미,야마자키 와카나,코야마 리키야,야마구치 캇페이"
139,프리즌 이스케이프,2020-05-06,1848297600,0.001,1848297600,217056,217056,547,29305,영국,"영국,호주",,(주)이놀미디어,12세이상관람가,"어드벤처,스릴러",,"다니엘 래드클리프,이안 하트"
140,스윙키즈,2018-12-19,1786104690,0.001,12094670292,214314,1473125,587,10010,한국,한국,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,강형철,"도경수,박혜수,자레드 그라임스,오정세,김민호,강성호,고창희,김건우,김동현,김민재,김수민,김유리,김은주,김종원,김지현,김지혜,김태형,김하늘,나경진,박상필,박준수,신지훈,안희진,이동현,이상훈,이승훈,이승훈,이재석,이정현,이태영,장지훈,전민정,전재형,최민우,송재룡,주해은,박진주,박형수,이규성,강길우,김규백,김시원,백인권,염석무,오래영,김언수,김희상,윤정로,김종태,최원,전재형,김지수,이승철,김태윤,서정우,김태순,박찬우"
141,눈의 여왕4,2019-12-24,1489224580,0.001,1489224580,211012,211012,541,6332,러시아,러시아,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,가족,판타지,어드벤처","로버트 렌스,알렉세이 트시칠린","양정화,박지윤,임채헌,박영재,민승우,민아,임은정,윤용식,김현심,조현정,엄상현,홍진욱,남도형,송하림"
142,커런트 워,2019-08-22,1817540600,0.001,1817540600,210945,210945,276,10983,미국,미국,,(주)이수C&E,12세이상관람가,드라마,알폰소 고메즈-레존,"베네딕트 컴버배치,마이클 섀넌,니콜라스 홀트,톰 홀랜드,캐서린 워터스턴"
143,어린 의뢰인,2019-05-22,1686499600,0.001,1686499600,204309,204309,671,17417,한국,한국,이스트드림시노펙스(주),롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"드라마,가족",장규성,"이동휘,정선희,유선,최명빈,이주원,고수희,서정연,원현준,이나라,정준원,이현균,이지훈,이로운,이봄,정희태,양희원,장정연,박미리,강지현,고경희,도한나,김가은,서병철,김나경,박준희,손광익,배진아,김명신,백승철,신영주,변주현,신정섭,신혜정,김보경,오규택,김보연,오정우,오준호,옥주리,최민정,장규성,이주열,허승,이준형,장한나,제승현,조덕현,김호정,전정일,김종선,정규연,김시영,김시윤,조태일,정민석,고유림,구순모,권방현,길상우,이동영,이동욱,이미영,한대훈,임용순,한동희,김주황,이헌주,조은혁,정시후,도건후,주소망,나주호,주은옥,남종수,원현준,한희정,김태윤,유이,민정기,차준희,민효경,윤성욱,신나라,정준원,정지웅,신아정,안귀령,이황의,박지서,전은미,전하늘,백연재,백우재,오효진,신미림,하윤서,한갑수,부진설,한예성,김성준,조셉"
144,프린스 코기,2019-12-24,1527787980,0.001,1527787980,204165,204165,455,6166,벨기에,벨기에,,(주)이수C&E,전체관람가,애니메이션,벤 스타센,"심규혁,김리흔,엄상현,김혜성,김현지,김옥경,시영준,황창영,홍진욱,최정현"
145,"안녕, 티라노: 영원히, 함께",2019-08-14,1591019230,0.001,1591019230,203667,203667,512,7421,한국,한국,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,시즈노 코분,"시영준,정혜원,이세은,이현,김지혜,박영진,김준현,사성웅,시영준,정형석,곽윤상,이동훈,김인형,김지혜,박주광,전종구,오인실"
146,비스트,2019-06-26,1606470590,0.001,1606470590,203042,203042,737,12404,한국,한국,(주)스튜디오앤뉴,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,스릴러",이정호,"이성민,김수정,유재명,전혜진,최다니엘,김영성,문순주,이서환,권훈,김경덕,김경로,서영수,박재원,옥자연,김귀선,선율우,김대곤,김대근,김대한,박찬규,손지영,박혜숙,김만호,봉신주,봉신주,안성봉,양재훈,김상수,오진석,김은혜,이종원,정종호,이종현,고재경,최성환,정찬우,이준호,김호정,김홍파,홍준표,이송희,정명훈,강려원,이승재,조홍우,김지안,권경훈,김영경,권영조,길덕호,김만기,김민송,김병춘,이미정,임예은,김은환,김혁,한우리,김통령,조정웅,이유진,유병훈,진범일,김철환,박경용,윤은정,박빈,이종신,최문수,박세기,심완준,안시연,안시하,이재혁,이호균,이효빈,박일룡,임예슬,박태성,전우신,임진후,손찬성,장준녕,오창석,장민기,백인권,한규원,황승일,현오봉,이상희,박지수,이영호,이현균"
147,요로나의 저주,2019-04-17,1784935221,0.001,1784935221,202756,202756,620,18561,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),마이클 차베즈,"린다 카델리니,패트리시아 벨라즈퀘즈,레이몬드 크루즈,숀 패트릭 토마스"
148,언니,2019-01-01,1746373250,0.001,1757528250,197134,198377,530,11315,한국,한국,"필름에이픽쳐스,(유)조이앤시네마","(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",청소년관람불가,액션,임경택,"이시영,박세완,이준혁,최진호,강민범,류도하,민예지,박일우,선율우,성승주,성진,박지완,김대근,김대홍,박하랑,배소현,배우진,신철민,안세하,육효명,윤대근,오현진,윤송아,신철민,공민규,이상훈,홍성호,최원호,김호진,김정팔,이육헌,김준희,이고은,이금주,곽인준,국하은,태정,김기무,김예진,임용순,임주영,김채현,김원해,조원재,조정환,조정환,이형철,주인서,문수빈,김태윤,문의영,정다향,김원중,정온서,정우리,채화,이자은,정회동,이태광,최인순,배시진,전승희,서윤하,설정환,성유라,홍대영,김강산,정수현"
149,언더독,2019-01-16,1494957830,0.001,1498087830,195183,195565,612,10774,한국,한국,(주)오돌또기,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"오성윤,이춘백","도경수,박소담,박철민,강석,이준혁,연지원,전숙경,박중금,명순용,서승원,이지운,김정은,진양욱,탁원정,송정희,한신정"
150,롱 샷,2019-07-24,1677753797,0.001,1677753797,191122,191122,454,8318,미국,미국,,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",15세이상관람가,코미디,조나단 레빈,"샤를리즈 테론,세스 로건"
151,검객,2020-09-23,1619781870,0.001,1619781870,190237,190237,832,21595,한국,한국,오퍼스픽쳐스(유),"(주)키위미디어그룹,오퍼스픽쳐스(유),(주)씨네필운",15세이상관람가,액션,최재훈,"장혁,김현수,조 타슬림,정만식,이나경,최진호,이민혁,지승현,지건우,공상아,신재환,안젤리나 다닐로바,조용현,강진휘,류성현,김영성,김주영,김형명,허선행,한철우,김윤태,한창현,양명헌,노시홍,황대준,황보정일,기윤,박태주,정예지,박건락,황세원,윤부진,우영택,류연영,김정환,김영주,조완기,민수아,남궁혜인,김민서,김세홍,원근수,오일용,이영호,이봄,김형욱,전영인,안유준,심은주,백우궁,이연준,한재하,윤석진,엄지만,오형근,전현우,이세찬,김양균,박국환,김윤호,곽길한,장규미,이수완,김현서,방지혁,강전영,신세용,김호경,박형우,조국형,손영건,이영훈,이대진,임병렬,노상현,김성현,하준우,한승우,국지용,차정훈,현정철,양희우,송정현,지웅배,정혜민,최보정,김효은,나미소,신현숙,임민소,황보다은,김혜린,장예림,나석민,장현성,이재웅,이정민,이상찬,천영암,윤승훈,이원희"
152,앵그리 버드 2: 독수리 왕국의 침공,2019-08-07,1437751073,0.001,1437751073,188987,188987,512,7252,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,액션",서럽 밴 오먼,"제이슨 서디키스,조시 게드,대니 맥브라이드,피터 딘클리지,아콰피나"
153,조제,2020-12-10,1673427570,0.001,1673427570,186647,186647,1179,38291,한국,한국,볼미디어(주),워너브러더스 코리아(주),15세이상관람가,"멜로/로맨스,드라마",김종관,"한지민,남주혁,허진,박예진,조복래,이소희,이성욱,김금순,장세원,윤혜리,유영현,정이서,김승비,설창희,이주영,김현숙,심완준,오소현,장세환,양택호,박서경,김하언,김수복,김성하,김동인,황도윤,박은지,진시원,이진수,이종운,박상운,김강희,임호상,김경재,송명석"
154,사라진 시간,2020-06-18,1652522580,0.001,1652522580,185802,185802,874,20790,한국,한국,"(주)비에이엔터테인먼트,(주)다니필름",(주)에이스메이커무비웍스,15세이상관람가,"미스터리,드라마",정진영,"조진웅,배수빈,정해균,차수연,장원영,신강균,고덕순,고혜란,권용채,김경태,김귀례,김다연,김동환,김민준,김선호,김유진,김윤성,김재영,류다무현,리티,명도진,박경관,박두식,박민희,박복만,박시은,박연수,소재연,신동미,안다혜,염재욱,오주석,왕현영,우민준,유준아,윤영섭,차선희,최광기,최교식,이도형,이선빈,한나라,이영희,이예원,이육현,이장원,이재현,이준후,이지호,이지후,조영애,조준호,장원영,정진우,강 민,김건"
155,우상,2019-03-20,1581839728,0.001,1581839728,183784,183784,900,18545,한국,한국,"리 공동체 영화사,(주)바른손",CGV아트하우스,15세이상관람가,스릴러,이수진,"한석규,설경구,천우희,김재화,현봉식,안다정,문순주,조병규,강말금,박경찬,강진경,강충훈,박민우,곽나연,민경진,민경진,권혁준,길창규,서주희,성도현,김동현,승의열,배진아,김명곤,신정섭,유광수,김병수,유승목,유승목,양희우,오누리,김서원,김선빈,김선중,김송일,이상민,정주현,이주원,최선규,이주현,최영경,장윤정,김재화,최유리,홍정희,조미초,김호,최윤정,김흥열,김수현,김희정,조대희,전진기,조윤정,이건창,주보라,이다슬,김영주,김미원,하민,이동훈,이영석,김성녀,김성모,김왕도,김술람,임정민,한다경,이예슬,이채,김지원,이우현,김정일,김종만,조영복,김향숙,김한준,김현룡,김혜화,김홍수,나라,명도진,원근수,주혜원,정우영,이윤희,이은,이인경,신동길,윤영섭,박기선,박명남,이강복,이지예,심은주,이한성,이순원,이순환,김윤호,안혜원,최은미,양현선,양현선,양지빈,박하은,오병남,임호경,설경구,백한영,임병열,홍주환,한석규,황민수,황주리,한우연"
156,밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,1544025340,0.001,1544025340,182026,182026,882,27363,미국,"미국,캐나다",,(주)홈초이스,15세이상관람가,드라마,제이 로치,"샤를리즈 테론,니콜 키드먼,마고 로비"
157,엔젤 해즈 폴른,2019-11-13,1479789022,0.001,1479789022,181400,181400,601,14367,미국,미국,,플러스엠 엔터테인먼트,15세이상관람가,"액션,스릴러",릭 로먼 워,"제라드 버틀러,모건 프리먼,대니 휴스턴,프레드릭 슈미트,로시 윌리엄스,파이퍼 페라보"
158,두번할까요,2019-10-17,1470966120,0.001,1470966120,177351,177351,658,16251,한국,한국,"(주)영화사울림,(주)영화사바른",(주)리틀빅픽쳐스,15세이상관람가,"코미디,멜로/로맨스",박용집,"권상우,홍근택,한경현,한아름,윤재인,유정래,전성훈,윤태인,김정현,안태혁,최은선,신지이,박지윤,곽상원,이지형,강덕중,김종호,정우영,변경록,이준,박경관,민채연,윤서인,임윤서,조은오,정해식,류인영,허현도,김송이,김두은,백진환,박철희,김근영,이주빈,정다은,조승현,권슬기,장윤영,이다애,한아름,장유화,이시영,이정현,이종혁,성동일,정상훈,김현숙,박경혜,구성환,정서영,김형식,이원욱,황재운,조남형,우남욱,권주용,김성아,금재용,전소민,신수지,이화시,이상준,홍은지"
159,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,1352215400,0.001,4293756800,174835,550147,581,6090,한국,한국,(주)드림써치C&C,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,한상호,"박희순,라미란,김성균,김경진,김재훈,김흥래,윤정화,이민규,이준호,이호준,최윤정,김응수,박중금,장유화"
160,자전차왕 엄복동,2019-02-27,1304861670,0.001,1304861670,172212,172212,624,11245,한국,한국,(주)셀트리온엔터테인먼트,(주)셀트리온엔터테인먼트,12세이상관람가,드라마,김유성,"정지훈,강소라,이범수,민효린,김희원,고창석,이시언,오민애,박진주,이정현,강덕중,강문봉,박근형,강인구,강희욱,강희중,고수희,박상원,박선주,구민혁,박성택,박영일,박용수,박재우,김규리,박태준,김동민,김동하,송재호,배창호,신철진,김민수,김병욱,김병철,유현식,오승희,윤병희,김수웅,임채선,최명빈,장근영,최석환,이서준,허유리,정혁진,김재열,이지민,김기범,조용현,김희진,이찬유,이지환,윤종구,정규민,정규호,조현수,이경영,고재성,김지성,최철수,구본규,권솔로,차순배,정석원,최환,기연호,김광오,채서원,이도용,김문학,김민건,김슬우,조두영,조무건,이창훈,김일우,김재선,김종재,이채원,이원종,김용진,노희국,김한울,조준,조준,이혜원,도용구,김태훈,우민제,한철우,주정원,문경현,노광규,김태현,이윤수,문두환,유영준,이으뜸,정동현,김원진,이은솔,유혁,차석호,차성제,왁스,박경화,김찬수,이장원,신수항,박병우,박병호,이정필,김진호,최대철,이정홍,최동익,최래선,정혜윤,김진우,이충구,박시후,안수민,이한들,이한위,이승로,이승로,이화랑,이영배,이영서,이예성,박정욱,박혜린,임지춘,염호정,전종헌,전해솔,서재홍,손지안,임형태,손한결,장도영,하재우,백태훈,박기범,홍성환,한성빈,황민우,한태일,함태인,김광수,윤대근,김문학,이승철"
161,진범,2019-07-10,1430365000,0.001,1430365000,168119,168119,224,8819,한국,한국,"(주)빅오션이엔엠,(주)트러스트스튜디오",(주)리틀빅픽쳐스,15세이상관람가,스릴러,고정욱,"송새벽,유선,장혁진,오민석,박미리,김귀선,신현탁,김민지,김성혜,윤송아,고유,정해균,이준헌,정희태,장혜진,최정원,강소윤,이경오,최현준,이다희,권현수,김상두,김필,한수연,우미화,마민희,박건준,심혜연,양예나,오동현,전현숙,장영,송하린"
162,더 페이버릿: 여왕의 여자,2019-02-21,1380191276,0.001,1380191276,164372,164372,128,5748,미국,미국,,"이십세기폭스코리아(주),월트디즈니컴퍼니코리아 유한책임회사",15세이상관람가,드라마,요르고스 란티모스,"올리비아 콜맨,엠마 스톤,레이첼 와이즈,니콜라스 홀트,마크 게티스,조 알윈"
163,인셉션,2010-07-21,1380782440,0.001,44862253440,163630,5998647,241,11000,미국,미국,"워너 브러더스 픽쳐스,레젼데리 픽쳐스","(주)디스테이션,워너브러더스 코리아(주)",12세이상관람가,"드라마,미스터리",크리스토퍼 놀란,"레오나르도 디카프리오,엘렌 페이지,마리온 꼬띨라르"
164,이웃집 토토로,2001-07-28,1336253176,0.001,1336253176,162737,162737,435,6833,일본,일본,,"(주)스마일이엔티,(주)키다리이엔티",전체관람가,"애니메이션,드라마",미야자키 하야오,"히다카 노리코,사카모토 치카"
165,트롤: 월드 투어,2020-04-29,1170580320,0,1170580320,152589,152589,344,15459,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,어드벤처,코미디","월트 도른,데이빗 P.스미스","안나 켄드릭,저스틴 팀버레이크"
166,미스터트롯: 더 무비,2020-10-22,1288696100,0.001,1288696100,150090,150090,449,15980,한국,한국,(주)영화사 그램,(주)영화사 그램,전체관람가,공연,전수경,
167,타오르는 여인의 초상,2020-01-16,1257794838,0.001,1257794838,149413,149413,156,7635,프랑스,프랑스,,"그린나래미디어(주),(주)홈초이스",15세이상관람가,드라마,셀린 시아마,"아델 에넬,노에미 멜랑"
168,벌새,2019-08-29,1195045974,0,1198538474,146976,147461,145,7864,한국,한국,에피파니(주),"(주)엣나인필름,(주)콘텐츠판다",15세이상관람가,드라마,김보라,"박지후,김새벽,정인기,이승연,박수연,손용범,박서윤,길해연,손상연,설혜인,송경아,백금옥,엄경희,정원자,한승목,류혁진,원다영,곽다은,오명은,권세빈,조시연,권귀빈,박윤희,박윤희,김미향,안민영,엄윤채,김상호,김소현,김수연,이종윤,최수빈,이선주,정혜영,최원경,김종구,정경섭,조혜빈,윤태희,이현주,이연우,김예지,이예림,김채윤,김지원,김정헌,이춘희,이유진,정윤서,최민서,안진현,임세연,손채연,임혜원,안예은,형영선,박수현"
169,가버나움,2019-01-24,1204420719,0,1210796519,146010,146637,111,5463,기타,기타,,"그린나래미디어(주),플레이리스트(주)",15세이상관람가,드라마,나딘 라바키,"자인 알 라피아,요르다노스 시프로우,보루와티프 트레저 반콜,나딘 라바키"
170,라라랜드,2016-12-07,856445314,0,30873132808,143651,3742039,387,18056,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",데이미언 셔젤,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
171,크롤,2019-11-27,1128159080,0,1128159080,140576,140576,612,10524,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,스릴러",알렉산더 아야,"카야 스코델라리오,배리 페퍼"
172,극장판 엉덩이 탐정: 화려한 사건 수첩,2019-07-11,1105576140,0,1105576140,140395,140395,561,5633,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,히라야마 미호,"김은아,소연,홍진욱,남도형,이장원,배정미,사성웅,석승훈,김사라,이다슬"
173,해리포터와 비밀의 방,2002-12-13,1198151000,0,1198151000,137788,137788,33,2816,미국,미국,,워너브러더스 코리아(주),전체관람가,드라마,크리스 콜럼버스,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트"
174,0.0MHz,2019-05-29,1088258860,0,1088258860,137294,137294,446,5998,한국,한국,(주)제이엠컬쳐스,(주)스마일이엔티,15세이상관람가,공포(호러),유선동,"정은지,이성열,최윤영,신주환,정원창,박명신,남관효,박대희,노혜영,서진석,김대현,신승민,오규택,오세규,오제헌,김성우,김수진,이정수,이상찬,허현준,이성훈,김정연,홍주영,김호영,김정현,김효은,조승구,조용현,김승희,김승희,김시아,황지원,조지영,조지영,강성민,강태웅,이경환,구원회,최현욱,김진옥,김난희,김하니,김선정,김성채,한소연,이채린,김진효,이병수,조임원,노희성,한정원,이혜미,조창순,조희원,주민준,나소이,남정희,함사랑,김원식,정낙안,유희찬,정설리,정승필,윤수빈,김채민,윤영식,신하림,이태준,김진아,최원,양시열,서우린,임창록,서한별,홍의현,한소영,황연희,한정윤,한태규,신지혜,박선영"
175,좀비랜드: 더블 탭,2019-11-13,1176243880,0,1176243880,136883,136883,585,13541,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"액션,코미디,공포(호러)",루벤 플레셔,"우디 해럴슨,제시 아이젠버그,아비게일 브레스린,엠마 스톤"
176,바이스,2019-04-11,1158371984,0,1158371984,136483,136483,241,9835,미국,미국,,(주)콘텐츠판다,15세이상관람가,드라마,아담 맥케이,"크리스찬 베일,에이미 아담스,스티브 카렐,타일러 페리,샘 록웰"
177,브레이크 더 사일런스: 더 무비,2020-09-24,1160249000,0,1160249000,131693,131693,205,10604,한국,한국,(주)하이브,CGV ICECON,전체관람가,다큐멘터리,박준수,"김남준,김석진,민윤기,정호석,박지민,김태형,전정국"
178,애니멀 크래커,2020-08-05,1028859740,0,1028859740,129688,129688,473,7473,미국,미국,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,가족,판타지",토니 밴크로프트,"존 크래신스키,에밀리 블런트,대니 드비토,이안 맥켈런,실베스터 스탤론"
179,다크 워터스,2020-03-11,1101919740,0,1101919740,127902,127902,575,21739,미국,미국,,(주)이수C&E,12세이상관람가,드라마,토드 헤인즈,"마크 러팔로,앤 해서웨이,팀 로빈스,빌 캠프,빅터 가버,윌리엄 잭슨 하퍼,루이자 크로즈"
180,21 브릿지: 테러 셧다운,2020-01-01,979862230,0,979862230,127767,127767,228,7687,미국,미국,,"(주)드림팩트엔터테인먼트,(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",15세이상관람가,"스릴러,드라마,범죄",브라이언 커크,"채드윅 보스만,J.K. 시몬스,시에나 밀러,테일러 키취"
181,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,2020-08-20,1004751550,0,1004751550,123329,123329,661,13299,일본,일본,,(주)씨제이이엔엠,전체관람가,애니메이션,하시모토 마사카즈,"박영남,김환진,강희선,여민정,정유미"
182,윤희에게,2019-11-14,976631609,0,976631609,122688,122688,317,7428,한국,한국,영화사 달리기,(주)리틀빅픽쳐스,12세이상관람가,멜로/로맨스,임대형,"김희애,나카무라 유코,김소혜,성유빈,김학선,한송희,유재명,윤태희,정은경,정태오,이원자,정수언,안종숙,이충재,박종혁,한정수,오진주,오진주,박지수,류명한,박미란,송경수,이문희,김성욱,김용제,김지환,박용구,심준보,연대웅,이주환,조현진,홍길표,황성식,김소희,김유비,김찬,김태래,박윤호,서동민,서현진,이하늘,최예린,한승민"
